#        k_frame                  mesh_V                 im_ener                  im_err        
            0               0.359999999999997              0.0                     0.0          
            1               0.3558147291109315     0.016925924029740327    0.026734577226868547 
            2              0.35085727668870753     0.01652949800239181     0.02610842043777582  
            3               0.3474506174019942     0.01620202257473185     0.02559117144768855  
            4              0.34603308992418524     0.02388152603050492     0.037720983553758775 
            5              0.34375846563815693     0.019605001371842123    0.030966192586439144 
            6               0.3402761320126068     0.017833410660855455    0.028167956661826955 
            7               0.3363630250191962     0.021801882357335465    0.03443617651533498  
            8              0.33375148207763355     0.016050977841017392    0.025352595574896872 
            9               0.3303953174836765     0.021651979418796156    0.034199404113434084 
            10              0.3268350249314957     0.018058249160905506     0.0285230901382977  
            11              0.3247160062517169     0.019024733738856162    0.030049657109908742 
            12              0.3225835067753809     0.021075803830440814    0.033289332040792353 
            13             0.31860228100745536     0.022752068758378746    0.03593700043927419  
            14              0.3141150797338906     0.01919097172525716     0.03031223079732856  
            15              0.3121636110492552     0.020063757217757862    0.03169079961937641  
            16              0.3098204366763052     0.013280851095951703    0.020977167251808218 
            17             0.30518981271526935     0.01780560199127042     0.02812403273641578  
            18             0.30422062092430124     0.014805303987748479    0.023385047819678713 
            19             0.30117844108506203     0.016685383955829945    0.02635464304006643  
            20              0.2962559083464272     0.018753249637489228    0.029620846685077085 
