#                               k_frame                                                                 mesh_V                                                                im_ener                                                                 im_err                                     reg_discrete-equilibrated_ciarletgeymonatneohookean_0.025_ener     reg_discrete-tractions-tangential_ciarletgeymonatneohookean_0.025_ener
                                   0                                                              0.359999999999997                                                             0.0                                                                    0.0                                                                    0.0                                                                    0.0                                  
                                   1                                                             0.35679910512226476                                                    0.06699549432979404                                                    0.10504797147324925                                                     0.4175824540253448                                                   0.0025175181819569927                         
                                   2                                                              0.3513776411915747                                                    0.06848820159379737                                                    0.10738851499271396                                                    0.43917995678051897                                                   0.0024599898544669764                         
                                   3                                                              0.3487879778246689                                                    0.06793154233677895                                                     0.1065156812844688                                                     0.4044109044444582                                                    0.004176750896915628                         
                                   4                                                              0.3473898666398576                                                    0.07055462809460923                                                     0.1106286420233509                                                    0.45707116113768764                                                   0.0027287441749591587                         
                                   5                                                              0.3439722631606391                                                    0.06748541211107192                                                    0.10581615550751541                                                     0.3854082163155041                                                    0.009057588664025595                         
                                   6                                                             0.34074998516334326                                                    0.06843319256371545                                                    0.10730226162477297                                                     0.4460543473748608                                                   0.0024337540312562777                         
                                   7                                                              0.3382853950572964                                                    0.06826448407905897                                                    0.10703772914746564                                                     0.3981093583322738                                                    0.00743293080951307                          
                                   8                                                              0.3350461218854974                                                    0.06814483472988896                                                     0.1068501206889545                                                     0.4125280124516922                                                    0.006172741477012221                         
                                   9                                                              0.3315595627676637                                                    0.06908972127332376                                                    0.10833168919819758                                                     0.3363703398028096                                                    0.03713431634407911                          
                                   10                                                            0.32790449361302393                                                    0.06697402148837815                                                    0.10501430236676573                                                     0.3308342511998152                                                    0.04923381132906966                          
                                   11                                                             0.3258632478403087                                                     0.0707075514990684                                                    0.11086842372195502                                                    0.38126791874822774                                                    0.019935635265347938                         
                                   12                                                             0.3232940173891499                                                    0.07143195118211354                                                    0.11200427200550017                                                     0.3269527541216829                                                    0.06489816156679942                          
                                   13                                                             0.3198748429413526                                                    0.07263686280685708                                                    0.11389355610214062                                                     0.4566571341035348                                                    0.019724485150345764                         
                                   14                                                             0.3157772445646827                                                    0.07058939234897259                                                     0.1106831518741578                                                    0.36455138020187783                                                    0.034538304575060894                         
                                   15                                                             0.3133687674752964                                                     0.0694308400438136                                                    0.10886655852381237                                                     0.398606857105206                                                     0.06143776072021056                          
                                   16                                                            0.31082100960842945                                                     0.0699686578013843                                                    0.10970984903193193                                                      0.42083223077929                                                     0.05044479751318531                          
                                   17                                                            0.30664571036610316                                                    0.06979078807004441                                                    0.10943095185159667                                                     0.4463005550638477                                                    0.028083347034159465                         
                                   18                                                            0.30375230769023154                                                    0.06767058032991471                                                    0.10610649661127676                                                     0.4376319767430576                                                    0.07104001454122753                          
                                   19                                                            0.30212770719948095                                                    0.07101524586098115                                                    0.11135088405568398                                                     0.4628544183933709                                                    0.05230506898742815                          
                                   20                                                            0.29725671216376537                                                     0.0715318492824843                                                    0.11216091078998798                                                      0.55878460627631                                                     0.03710694292446346                          
