#        k_frame                  mesh_V                 im_ener                  im_err        
            0              0.35999999999999727             0.0                     0.0          
            1               0.3603509801350693     0.006958298446046638    0.010982127366708895 
            2              0.35972782576161183     0.01648121580884638     0.026011935615351728 
            3              0.36166123392031463     0.01729585612751968     0.027297664275468262 
            4              0.36305471446098275     0.015576385187501846    0.02458386161048496  
            5              0.36340902778203077     0.011133786791882714    0.017572207569180435 
            6               0.3627910320398331     0.015014054900872263    0.023696348251032454 
            7              0.36428818108728095     0.019902885442131292    0.03141228054319605  
            8              0.36549447549781944      0.0168192322807984     0.026545419480093358 
            9               0.3659252448588457     0.013738529246958169    0.021683214537466623 
            10              0.3658371905676558     0.015872679367154915    0.02505149611110246  
            11             0.36754349997511127     0.02064068934344803     0.03257673999815356  
            12             0.36929749883368285     0.017673028114740894    0.02789294641735044  
            13              0.370011589671864      0.017014649918038388    0.02685384278192661  
            14              0.3706152996843415     0.018585717647688616    0.02933342396725902  
            15              0.3725452499119824     0.016409478969064722    0.02589871495983142  
            16             0.37393521194774776     0.015721473249646956    0.02481285086557675  
            17             0.37399725529978545     0.016292958221701962    0.025714812861017452 
            18              0.3751403448243861     0.02347758317366404     0.03705414630816369  
            19              0.3767699231571984     0.019456502968768528    0.03070776503344214  
            20              0.3773834252619757     0.01911606665069554     0.030170461979495796 
