#                               k_frame                                                                mesh_V                                                               im_ener                                                                im_err                                    reg_discrete-equilibrated_ciarletgeymonatneohookean_0.05_ener     reg_discrete-tractions-tangential_ciarletgeymonatneohookean_0.05_ener
                                   0                                                             0.359999999999997                                                            0.0                                                                   0.0                                                           0.20064998546390933                                                           0.0                                 
                                   1                                                             0.3606619263290532                                                   0.008346601487040632                                                  0.013183496608226654                                                  0.027358381659736208                                                 0.0008178437531286428                        
                                   2                                                            0.36095367498379627                                                   0.01801860681137454                                                   0.028460474859325163                                                  0.04630218948897394                                                  0.0004084232232153733                        
                                   3                                                             0.3623244214880718                                                   0.01856923089317833                                                   0.029330188206265127                                                  0.021165533592670475                                                 0.00011646096613073868                       
                                   4                                                            0.36346033377067605                                                   0.017043413932969955                                                  0.02692015308587339                                                   0.024156071743639075                                                 0.0001293320781763998                        
                                   5                                                             0.364171537755966                                                    0.012171053960844983                                                  0.019224237416926804                                                   0.0375686258324887                                                  0.00021567616546317461                       
                                   6                                                             0.3644435452063984                                                   0.01676648760988859                                                   0.026482746646049906                                                  0.05808448270257186                                                   0.000493383567352979                        
                                   7                                                            0.36575997164791557                                                   0.021655661273995826                                                  0.034205219621172435                                                  0.03399612947857785                                                  0.0004561505375773764                        
                                   8                                                             0.3667914688816984                                                   0.018353561491836624                                                  0.02898953736466196                                                   0.042578226899815864                                                 0.0004226354650836714                        
                                   9                                                             0.3675527876120874                                                   0.015443058416693103                                                  0.024392383962889504                                                  0.05615822807709928                                                  0.0005243015370533043                        
                                   10                                                           0.36808989019732485                                                   0.018077764020620585                                                  0.028553913951710048                                                   0.069688414599882                                                   0.0005647590574062185                        
                                   11                                                            0.3698759284602099                                                   0.022728558310249267                                                  0.03589986557502386                                                   0.08724716421868048                                                   0.009269959730493766                        
                                   12                                                            0.3710807573026022                                                   0.019967711220702167                                                  0.03153909451180856                                                   0.09251860926712868                                                   0.009191904100145351                        
                                   13                                                            0.3721142876407352                                                   0.019457450863401633                                                  0.030733135859028878                                                  0.12750086206834577                                                   0.007533961308279814                        
                                   14                                                            0.3731005845947519                                                   0.021028303067365132                                                   0.0332143043603803                                                   0.13581429357803554                                                   0.008139545166442769                        
                                   15                                                            0.3743988161076542                                                   0.01873964068011275                                                   0.029599351272400095                                                   0.1428702815876827                                                   0.008590156312014399                        
                                   16                                                           0.37549838232123667                                                   0.018343280925461166                                                  0.02897329916134628                                                    0.1512023123954954                                                   0.009541046671502214                        
                                   17                                                            0.3762843707043493                                                   0.019391356459948415                                                  0.030628739435514328                                                  0.16294376514924913                                                   0.010677732970304912                        
                                   18                                                           0.37745384122341374                                                   0.02619374267821904                                                   0.04137314070777576                                                   0.16855887983737253                                                   0.012168903275744963                        
                                   19                                                            0.3787231019162001                                                   0.022440236000253452                                                  0.035444459119856726                                                  0.18103092953657765                                                   0.012380766183830055                        
                                   20                                                           0.37958544788103343                                                   0.021891698704495446                                                  0.034578041861366586                                                  0.19423381906592513                                                   0.013242773976232022                        
